X_Accel,Y_Accel,Z_Accel
0.000000,0.196000,-0.882000
-0.049000,0.147000,-0.882000
-0.049000,-0.833000,-0.049000
-0.098000,-0.833000,0.049000
-1.029000,0.147000,0.000000
-1.029000,0.196000,0.000000
