Timestamp,X_Accel,Y_Accel,Z_Accel,Pressure1,Temperature1,Humidity1,Pressure2,Temperature2,Humidity2
1488,0.441000,0.000000,-0.441000,0,0,0,0,0,0
1605,0.147000,-0.637000,-1.764000,0,0,0,0,0,0
1718,0.441000,-0.098000,-0.882000,0,0,0,0,0,0
1835,0.343000,0.049000,0.000000,0,0,0,0,0,0
1953,0.441000,0.245000,-0.539000,0,0,0,0,0,0
2066,-0.049000,-0.147000,-0.196000,0,0,0,0,0,0
2183,0.441000,0.098000,-0.686000,0,0,0,0,0,0
2300,0.147000,0.196000,0.147000,0,0,0,0,0,0
2417,0.245000,-0.245000,-0.686000,0,0,0,0,0,0
2531,0.049000,-0.343000,-0.784000,0,0,0,0,0,0
2648,-0.098000,-0.049000,-0.539000,0,0,0,0,0,0
2765,0.245000,0.147000,-0.588000,0,0,0,0,0,0
2882,-0.098000,0.049000,-1.029000,0,0,0,0,0,0
2996,0.343000,-0.392000,-0.637000,0,0,0,0,0,0
3113,0.098000,-0.196000,-1.421000,0,0,0,0,0,0
3230,0.147000,-0.196000,-0.882000,0,0,0,0,0,0
3347,0.049000,-0.049000,-0.686000,0,0,0,0,0,0
3460,0.245000,-0.147000,-0.245000,0,0,0,0,0,0
3578,-0.049000,0.000000,-0.637000,0,0,0,0,0,0
3695,0.098000,-0.049000,0.833000,0,0,0,0,0,0
3812,0.196000,-0.392000,-1.176000,0,0,0,0,0,0
3925,0.245000,-0.049000,-0.588000,0,0,0,0,0,0
4042,-0.049000,-0.392000,1.372000,0,0,0,0,0,0
4160,0.441000,-0.245000,-0.784000,0,0,0,0,0,0
52273,0.245000,-0.049000,-0.931000,20728,-32479,30375,0,0,0
52292,0.392000,0.294000,-0.686000,20727,-32479,30374,0,0,0
52312,0.196000,-0.147000,-1.176000,20726,-32479,30364,0,0,0
52332,0.147000,0.098000,-0.588000,20725,-32478,30385,0,0,0
52351,0.686000,0.000000,-0.343000,20723,-32478,30385,0,0,0
52371,0.098000,-0.049000,-0.588000,20724,-32478,30386,0,0,0
52390,0.392000,-0.098000,-0.833000,20725,-32479,30391,0,0,0
52410,-0.049000,-0.196000,-0.588000,20726,-32479,30394,0,0,0
52429,0.147000,0.049000,-0.392000,20724,-32479,30397,0,0,0
52445,0.490000,-0.245000,-0.588000,20727,-32478,30401,0,0,0
52464,0.196000,0.147000,-0.196000,20726,-32477,30402,0,0,0
52484,0.147000,-0.294000,-1.568000,20727,-32479,30401,0,0,0
52503,0.441000,-0.392000,0.000000,20724,-32477,30405,0,0,0
52523,0.098000,-0.490000,-0.392000,20724,-32479,30411,0,0,0
52542,0.343000,-0.833000,-0.735000,20726,-32479,30409,0,0,0
52562,0.441000,-0.245000,-1.715000,20725,-32477,30414,0,0,0
